,Category,Department,Subdepartment
0,ABIS_APPAREL,Apparel,
1,ADULT_COSTUME,Apparel,
2,APPAREL,Apparel,
3,Apparel,Apparel,
4,APPAREL_BELT,Apparel,
5,APPAREL_GLOVES,Apparel,
6,APPAREL_HEAD_NECK_COVERING,Apparel,
7,APPAREL_PIN,Apparel,
8,APPENDAGE_WARMER,Apparel,
9,ARM_SLEEVE,Apparel,
10,BASE_LAYER_APPAREL_SET,Apparel,
11,BELTS,Apparel,
12,BLAZER,Apparel,
13,BLOUSE,Apparel,
14,BLUE_LIGHT_BLOCKING_EYEGLASSES,Apparel,
15,BODYSTOCKING,Apparel,
16,BOOT,Apparel,Footwear
17,BRA,Apparel,
18,BRA_UNDERWEAR_SET,Apparel,
19,BRACELET,Apparel,
20,BREAST_PETAL,Apparel,
21,BUCKLE,Apparel,
22,CHARM,Apparel,Jewelry
23,CHILDRENS_COSTUME,Apparel,Costumes
24,COAT,Apparel,
25,COORDINATED_OUTFIT,Apparel,
26,CORSET,Apparel,
27,COSTUME,Apparel,Costume
28,COSTUME_EYEWEAR,Apparel,Costume
29,COSTUME_FACIAL_HAIR,Apparel,Costume
30,COSTUME_HEADWEAR,Apparel,Costume
31,COSTUME_MASK,Apparel,Costume
32,COSTUME_OUTFIT,Apparel,Costume
33,CUFF_LINK,Apparel,Jewelry
34,DRESS,Apparel,
35,EARMUFF,Apparel,
36,EARRING,Apparel,Jewelry
37,ETHNIC_WEAR,Apparel,
38,FASHION_JEWELRY,Apparel,Jewelry
39,FASHIONEARRING,Apparel,Jewelry
40,FASHIONNECKLACEBRACELETANKLET,Apparel,Jewelry
41,FASHIONOTHER,Apparel,Jewelry
42,FASHIONRING,Apparel,Jewelry
43,FINEEARRING,Apparel,Jewelry
44,FINENECKLACEBRACELETANKLET,Apparel,Jewelry
45,FINEOTHER,Apparel,Jewelry
46,FINERING,Apparel,Jewelry
47,FOOTWEAR,Apparel,Footwear
48,FOOTWEAR_CARE_KIT,Apparel,Footwear
49,GLOVES,Apparel,
50,GUILD_APPAREL,Apparel,
51,GUILD_JEWELRY,Apparel,Jewelry
52,GUILD_SHOES,Apparel,
53,HAIRBAND,Apparel,
54,HANDBAG,Bags and Luggage,
55,HAT,Apparel,
56,HOSIERY,Apparel,
57,JEWELRY,Apparel,Jewelry
58,JEWELRY_FINDING,Apparel,Jewelry
59,KIMONO,Apparel,
60,LEG_SLEEVE,Apparel,
61,LEOTARD,Apparel,
62,LOOSE_CUT_GEM,Apparel,Jewelry
63,MOISTURIZING_SOCK_GLOVE,Apparel,
64,NECKLACE,Apparel,Jewelry
65,NECKTIE,Apparel,
66,NIGHTGOWN_NIGHTSHIRT,Apparel,
67,ONE_PIECE_OUTFIT,Apparel,
68,ORCA_SHIRT,Apparel,
69,OUTERWEAR,Apparel,
70,OVERALLS,Apparel,
71,PAJAMAS,Apparel,
72,PANTS,Apparel,
73,PIERCING_JEWELRY,Apparel,Jewelry
74,POTPOURRI_SACHET,Apparel,
75,RING,Apparel,Jewelry
76,ROBE,Apparel,
77,SALWAR_SUIT_SET,Apparel,
78,SANDAL,Apparel,Footwear
79,SAREE,Apparel,
80,SASH,Apparel,
81,SCARF,Apparel,
82,SHIRT,Apparel,
83,SHOE_ACCESSORY,Apparel,Footwear
84,SHOE_BAG,Apparel,Footwear
85,SHOE_INSERT,Apparel,Footwear
86,SHOE_POLISH,Apparel,Footwear
87,SHOELACE,Apparel,Footwear
88,SHOES,Apparel,Footwear
89,SHORTS,Apparel,
90,SKIRT,Apparel,
91,SLEEPWEAR,Apparel,
92,SLIPPER,Apparel,Footwear
93,SNOW_PANT,Apparel,
94,SOCKS,Apparel,Socks and Underwear
95,SOCKSHOSIERY,Apparel,
96,SUIT,Apparel,
97,SUNGLASSES,Apparel,
98,SUSPENDER,Apparel,
99,SWEATBAND,Apparel,
100,SWEATER,Apparel,
101,SWEATSHIRT,Apparel,
102,TIGHTS,Apparel,Socks and Underwear
103,TRACK_SUIT,Apparel,
104,TUNIC,Apparel,
105,UNDERGARMENT_SLIP,Apparel,Socks and Underwear
106,UNDERGARMENT_THIGH_SLIMMER,Apparel,Socks and Underwear
107,UNDERPANTS,Apparel,Socks and Underwear
108,UNDERWEAR,Apparel,Socks and Underwear
109,UNION_SUIT,Apparel,
110,VEST,Apparel,
111,WAIST_PACK,Apparel,
112,WASTE_BAG,Apparel,
113,WATCH,Apparel,Jewelry
114,WATCH_BAND,Apparel,Jewelry
115,WATCHES,Apparel,Jewelry
116,WIG,Apparel,
117,ZIPPER_FASTENER,Apparel,
